name,id,tags,planetary,decivRemove,script,desc,icon,order
Maioria Luddica,luddic_majority,"show_in_codex, codex_unlockable",,TRUE,com.fs.starfarer.api.impl.campaign.econ.LuddicMajority,,graphics/icons/markets/luddic_majority.png,142
Campos Minados Sigilosos,stealth_minefields,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.StealthMinefields,Uma rede de minas ocultas oferece $market segurança contra intromissões de estranhos. Melhora a estabilidade.,graphics/icons/markets/stealth_mines.png,510
Capital Regional,regional_capital,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RegionalCapital,"Um grande centro de administração, segurança e logística. Melhora a estabilidade.",graphics/icons/markets/capital.png,500
Porto Livre,free_market,show_in_codex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FreeMarket,"A autoridade portuária local impõe quase nenhuma regulamentação sobre o que pode ser comercializado. Os controles de imigração também são relaxados, resultando em maior fluxo de pessoas, embora às vezes de caráter duvidoso. Isso pode fazer com que outras facções vejam esta colônia com desconfiança.",graphics/icons/markets/free_port.png,141
Imigração Fechada,closed_immigration,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ClosedImmigration,"Oficialmente, a imigração para $market não é permitida. Na prática, isso resulta em uma redução significativa da imigração geral e abre espaço para certos tipos de criminosos operarem.",graphics/icons/markets/vice_demand.png,142
,,,,,,,,
Mundo Inabitável,uninhabitable,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"Um planeta estéril, cuja superfície de $market não consegue sustentar vida orgânica como a conhecemos, e a agricultura é impossível fora de ecossistemas artificiais selados.",graphics/icons/markets/uninhabitable_wide.png,10
Mundo Gelado,ice,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldIce,A temperatura média de $Market está muito abaixo do ponto de congelamento da água e alguns gases atmosféricos terrestres comuns caem como neve. Geleiras e acúmulos de elementos voláteis leves podem ser colhidos.,graphics/icons/markets/ice_world_wide.png,10
Mundo Desértico,desert,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldDesert,$Market: planeta desértico. Uma biosfera xerófila mantém uma atmosfera respirável com apenas uma máscara leve. A agricultura é quase impossível.,graphics/icons/markets/desert_world_wide.png,10
Mundo Árido,arid,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldArid,$Market é coberto por vastas planícies e terras áridas. A água é escassa e a agricultura em larga escala é difícil.,graphics/icons/markets/arid_world_wide.png,10
Mundo Aquático,water,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldWater,"O clima de $market é hospitaleiro, mas a agricultura é limitada principalmente à aquicultura, e infraestrutura altamente especializada é necessária para qualquer desenvolvimento de habitats e indústria.",graphics/icons/markets/water_world_wide.png,10
Mundo de Selva,jungle,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldJungle,"$Market é um mundo úmido e quente, coberto por uma vegetação exuberante e formas de vida exóticas, o que torna a agricultura e a manutenção de infraestrutura permanente difíceis.",graphics/icons/markets/jungle_world_wide.png,10
Mundo Terrestre,terran,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTerran,"$Market é o mundo mais próximo das condições originais da Velha Terra encontradas no Setor, proporcionando condições ideais para agricultura e assentamento.",graphics/icons/markets/terran_world_wide.png,10
Mundo Marginal-Árido,barren_marginal,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldBarrenMarginal,"Inóspito e implacável, as condições externas em $market são apenas minimamente suportáveis para um humano com máscara de oxigênio e equipamento de proteção, embora certos líquens de engenharia terraformadora as tolerem.",graphics/icons/markets/barren_desert_wide.png,10
Mundo Crepuscular,twilight,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTwilight,"Travado por maré em sua estrela primária, ou quase isso, $market é um mundo terraformado com dias do comprimento de estações. A variação de temperatura entre dia/noite é, consequentemente, severa mesmo para vida terrana engenheirada. Ilhas de biomas 'civilizados' de clima ameno são mantidas por meio do uso judicioso de sombras solares e espelhos.",graphics/icons/markets/twilight_terran_world.png,10
Mundo Tundra,tundra,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTundra,"A terraformação trouxe vida terrana a $market, mas o mundo permanece tão frio quanto as eras glaciais mais profundas da Terra. Embora milhões de quilômetros quadrados sejam cobertos por geleiras, também existem províncias de taiga e estepes ondulantes onde condições mais amenas prevalecem.",graphics/icons/markets/tundra_terran_wide.png,10
Mundo Criovulcânico,cryovolcanic,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"Um mundo congelado além do frio mais intenso, neves de metano caem sobre montanhas de gelo-água e vulcões entram em erupção com amônia. A radiação estelar decompõe os voláteis para formar uma atmosfera de gases leves como nitrogênio e oxigênio, enquanto o hidrogênio é varrido para o espaço.",graphics/icons/markets/cryo_world_wide.png,10
,,,,,,,,
População Dissidente,dissident,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Dissident,"$Market é um depósito de dissidentes, rebeldes, livres-pensadores, artistas e outros agitadores. Aumenta a demanda por armas e fuzileiros para policiar a multidão. Aumenta a disponibilidade de tripulação devido à emigração.",graphics/icons/markets/dissidents.png,139
Sede,headquarters,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Headquarters,"$Market é um centro de comando militar e operação logística para a polity governante. Aumenta a estabilidade do mercado.

Aumenta a qualidade e quantidade de oficiais nas frotas de $market.",graphics/icons/markets/headquarters.png,360
Complexo Hidropônico,hydroponics_complex,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Hydroponics,"Instalações de produção agrícola em biosfera selada que permitem o cultivo em órbita ou na superfície de mundos inóspitos. Requer tripulação para operar, meio de crescimento orgânico e maquinário pesado para manutenção.",graphics/icons/markets/hydroponics.png,120
,,,,,,,,
População,population_1,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Apenas dezenas de pessoas vivem aqui permanentemente.,graphics/icons/markets/population01.png,20
População,population_2,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Meras centenas de pessoas povoam $marketName.,graphics/icons/markets/population02.png,20
População,population_3,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Milhares de pessoas chamam $marketName de lar.,graphics/icons/markets/population03.png,20
Populacao,population_4,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Dezenas de milhares de pessoas vivem em $marketName.,graphics/icons/markets/population04.png,20
Populacao,population_5,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$MarketName abriga centenas de milhares de pessoas.,graphics/icons/markets/population05.png,20
Populacao,population_6,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,A populacao de $marketName chega a milhoes.,graphics/icons/markets/population06.png,20
Populacao,population_7,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$MarketName e um mundo de dezenas de milhoes.,graphics/icons/markets/population07.png,20
Populacao,population_8,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$MarketName e um dos poucos mundos do Setor com uma populacao de centenas de milhoes.,graphics/icons/markets/population08.png,20
Populacao,population_9,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"Um refúgio precioso para a humanidade em uma galaxia perigosa, $marketName abriga bilhoes de almas.",graphics/icons/markets/population09.png,20
Populacao,population_10,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"$MarketName e um centro populacional dominante no Setor, rivalizando com a Velha Terra como lar de dezenas de bilhoes de humanos.",graphics/icons/markets/population10.png,20
,,,,,,,,
,,,,,,,,
,,,,,,,,
# event-related market conditions,,,,,,,,
Escassez de Alimentos,event_food_shortage,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FoodShortage,"Há uma falta temporária de alimentos disponíveis em $market.
- Estabilidade reduzida em $stabilityPenalty
- Aproximadamente $neededFood unidades de alimentos necessárias para acabar com a escassez
- Preços dos alimentos aumentados devido à oferta reduzida
- Aumento de reputação e experiência por vender alimentos",graphics/icons/markets/food_shortage.png,1000
Agitacao Recente,recent_unrest,show_in_codex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RecentUnrest,$Market recentemente passou por eventos tumultuosos com efeito duradouro na estabilidade.,graphics/icons/markets/recent_unrest.png,2000
Interrupcao Comercial,event_trade_disruption,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeDisruption,"Frotas comerciais indo ou vindo de $market estão sofrendo perdas significativas. Pirataria ou guerra provavelmente são as responsáveis.

As seguintes mercadorias estão afetadas:
$commoditySummary",graphics/icons/markets/trade_disruption.png,1100
Contrabando,event_smuggling,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Smuggling,"$market está enfrentando um alto volume de atividades de contrabando.

- Estabilidade reduzida em $smugglingPenalty",graphics/icons/markets/smuggling.png,1000
Recompensa do Sistema,event_bounty,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.SystemBounty,,graphics/icons/markets/bounty.png,1000
Núcleo de IA Renegado,rogue_ai_core,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RogueAICore,"Há um núcleo de IA renegado operando em ou próximo a $market. Seus planos e ambições de longo prazo, além de sua própria sobrevivência, são desconhecidos.

No mínimo, a necessidade de estar atento às suas possíveis ações torna as operações diárias menos eficientes e cria terreno fértil para boatos alarmantes.",graphics/icons/markets/rogue_ai.png,1200
Admin. Núcleo de IA (oculto),ai_core_admin,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AICoreAdmin,Condição oculta para rastrear quando o núcleo se torna irremovível. Não precisa de ícone.,graphics/icons/markets/rogue_ai.png,1000
Atividade Pirata,pirate_activity,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.PirateActivity,"Há sinais de que piratas estão alvejando remessas e colônias neste sistema — desde inspetores de porto sendo pressionados a fechar os olhos, até inconsistências em manifestos de carga, além de outras atividades criminosas aumentadas.

Os piratas provavelmente têm uma base em algum lugar relativamente próximo.",graphics/icons/markets/pirate_activity.png,1300
Atividade Hostil,hostile_activity,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.events.HostileActivity,,graphics/icons/markets/pirate_activity.png,1350
Trégua Pirata,piracy_respite,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.PiracyRespite,"Esta colônia está passando por um período de trégua das depredações da pirataria, tão comum em outros lugares do Setor.",graphics/icons/markets/respite40.png,1375
Polity Estabelecida,established_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.EstablishedPolity,,graphics/icons/markets/established_polity.png,1380
Bloqueada,blockaded,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Blockaded,"O sistema onde esta colônia está localizada está passando por um bloqueio, e o comércio regular está sofrendo assédio ou pior. Os efeitos continuarão até que a força bloqueadora se retire ou seja derrotada de forma decisiva.",graphics/icons/markets/blockade.png,1385
Células do Caminho Luddico,pather_cells,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.LuddicPathCells,,graphics/icons/markets/pather_cells.png,1400
,,,,,,,,
# stand-alone conditions,,,,,,,,
Interrupção Comercial,shipping_disruption,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShippingDisruption,,graphics/icons/markets/trade_disruption.png,1000
,,,,,,,,
# misc,,,,,,,,
Rádio Comunicações (oculto),comm_relay,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CommRelayCondition,Condição oculta; não precisa de ícone.,,
,,,,,,,,
,,,,,,,,
# procgen conditions,,,,,,,,
Habitável,habitable,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.Habitable,Seres humanos podem sobreviver expostos sem proteção às condições de superfície de $market.,graphics/icons/markets/habitable.png,21
,,,,,,,,
,,,,,,,,
Ruínas Espalhadas,ruins_scattered,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Este mundo foi apenas levemente tocado pelo grande projeto do Domínio antes do Colapso. Apenas cúpulas dispersas e quebradas permanecem, talvez guardando estoques perdidos de materiais valiosos.",graphics/icons/markets/ruins_scattered.png,100
Ruínas Generalizadas,ruins_widespread,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Ruínas generalizadas, sinais de fontes de radiação e o característico eco borrado de estruturas de cerâmico-metálico espumado podem ser encontrados por todo $market, evidência de um esforço de colonização pequeno, mas coordenado, datando do período de expansão tardia do Domínio.",graphics/icons/markets/ruins_widespread.png,100
Ruínas Extensas,ruins_extensive,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Cidades em ruínas podem ser encontradas por toda a superfície de $market, com estradas esburacadas e linhas de magtril esqueléticas saindo de seus corações partidos, além dos escombros de fábricas, cúpulas de aquaponia e torres de comunicação.",graphics/icons/markets/ruins_extensive.png,100
Ruínas Vastass,ruins_vast,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$Market está coberto de ruínas vastas: cidades, fábricas, minas, fazendas, lares. Os mortos estão em abundância temível, entrelaçados com materiais recuperáveis, bens, ferramentas e armas. Este mundo é um túmulo para a arrogância do projeto de colonização galáctica e hegemonia do Domínio.",graphics/icons/markets/ruins_vast.png,100
,,,,,,,,
,,,,,,,,
Frio,cold,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"As baixas temperaturas encontradas em $market exigem equipamentos especializados para realizar operações normais, complicando o suporte de vida e a infraestrutura.",graphics/icons/markets/cold.png,25
Frio Extremo,very_cold,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"O frio extremo exige equipamentos e protocolos especializados para operar com segurança em $market, complicando a logística, o suporte de vida e a infraestrutura.",graphics/icons/markets/cold_extreme.png,25
,,,,,,,,
Quente,hot,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"As altas temperaturas de $market exigem equipamentos especializados para realizar operações normais, complicando o suporte de vida e a infraestrutura.",graphics/icons/markets/hot.png,25
Calor Extremo,very_hot,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"O calor extremo exige equipamentos e protocolos especializados para operar com segurança em $market, complicando seriamente a logística, o suporte de vida e a estabilidade a longo prazo da infraestrutura.",graphics/icons/markets/hot_extreme.png,25
,,,,,,,,
,,,,,,,,
Atividade Tectônica,tectonic_activity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,A superfície de $market é instável e propensa a tremores violentos. Quaisquer estruturas exigem reforço especial e qualquer escavação envolverá grande risco.,graphics/icons/markets/tectonic.png,26
Atividade Tectônica Extrema,extreme_tectonic_activity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,A crosta de $market se agita caoticamente com terremotos extremos e eventos vulcânicos cataclísmicos. Qualquer operação exigirá extremo cuidado e uso de sistemas de alerta redundantes várias vezes para que os piores perigos possam ser evitados. A construção neste mundo só pode ser considerada semipermanente.,graphics/icons/markets/tectonic_extreme.png,26
,,,,,,,,
,,,,,,,,
Sem Atmosfera,no_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Não há atmosfera apreciável em $market. Sua superfície está exposta ao desgaste constante do espaço, uma chuva constante de radiação e micrometeoritos.",graphics/icons/markets/atmosphere_none.png,27
Atmosfera Rarefeita,thin_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,Uma atmosfera rarefeita persiste teimosamente na superfície de $market.,graphics/icons/markets/atmosphere_thin.png,27
Atmosfera Tóxica,toxic_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"A atmosfera de $market é excepcionalmente tóxica e corrosiva, desgastando superfícies desprotegidas e exigindo o selamento hermético de qualquer espaço habitado.",graphics/icons/markets/atmosphere_toxic.png,27
Atmosfera Densa,dense_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"A superfície de $market está envolta em uma atmosfera espessa, com vórtices turbulentos em sua coroa e uma sopa sufocante em seus níveis mais baixos. Os sensores são prejudicados, e as operações devem ser realizadas com cuidado.",graphics/icons/markets/atmosphere_dense.png,27
,,,,,,,,
,,,,,,,,
Clima Ameno,mild_climate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.MildClimate,O clima de $market é acolhedor e dócil; uma leve neblina saúda cada amanhecer antes de se dissipar em nuvens suaves que brilham atraentes a cada entardecer.,graphics/icons/markets/climate_mild.png,28
Clima Extremo,extreme_weather,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Tempestades violentas, repletas de relâmpagos, assolam os céus de $market. Embora sublime em órbita, isso produz condições severas na superfície, tornando o transporte e a habitação altamente inconvenientes.",graphics/icons/markets/weather_extreme.png,28
,,,,,,,,
Baixa Gravidade,low_gravity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LowGravity,"A gravidade é excepcionalmente baixa, embora significativamente acima do zero-g, na superfície de $market. O fluxo de trabalho e a operação de maquinário (relativamente) pesado são complicados pelos procedimentos não padronizados necessários para lidar com as condições alteradas de atrito, peso e dinâmica de pressão.",graphics/icons/markets/gravity_low.png,24
Alta Gravidade,high_gravity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.HighGravity,"A força da gravidade na superfície de $market é esmagadora. Os humanos precisam de exoesqueletos motorizados para locomoção regular e acham até ações básicas exaustivas. A habitação contínua é árdua, na melhor das hipóteses. Todas as operações ocorrem com um perigo aumentado de quedas e - se engenharia especializada não for realizada com paranoia adequada - colapso estrutural.",graphics/icons/markets/gravity_high.png,24
,,,,,,,,
Irradiado,irradiated,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,A superfície de $market é devastada pela radiação. Qualquer ser vivo deve ser confinado a um habitat blindado para sobreviver por muito tempo aqui. Circuitos não blindados e materiais ou maquinário em nanoescala também falharão rapidamente nessas condições hostis.,graphics/icons/markets/irradiated.png,29
,,,,,,,,
,,,,,,,,
Biosfera Inimiga,inimical_biosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LCAttractorLow,"A biosfera de $market é letal para seres humanos desprotegidos. Embora as condições sejam fascinantes para cientistas biológicos, técnicos de superfície são atrapalhados por protocolos rígidos de quarentena ao realizar tarefas rotineiras.",graphics/icons/markets/inimical_biosphere.png,30
,,,,,,,,
Superfície Coberta por Água,water_surface,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Este é um mundo oceânico sem superfície sólida substancial para pousar, caminhar ou construir. Operações são complicadas pela necessidade de treinamento e equipamentos especializados.",graphics/icons/markets/water_covered.png,31
,,,,,,,,
Luz Fraca,poor_light,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,A luz da estrela primária de $market fornece apenas iluminação e energia fracas a este mundo.,graphics/icons/markets/poor_light.png,32
Escuridão,dark,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"A superfície de $market é escura e cheia de sombras, recebendo efetivamente nenhuma iluminação de sua estrela primária.",graphics/icons/markets/darkness.png,32
,,,,,,,,
Impactos de Meteoros,meteor_impacts,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Este mundo é bombardeado em um ritmo alarmante por chuvas de meteoros regulares. Qualquer habitante humano, por mais temporário que seja, deve manter um olhar atento ao céu. Quaisquer instalações permanentes seriam melhor enterradas profundamente e bem fortificadas.",graphics/icons/markets/meteor_impacts.png,33
,,,,,,,,
,,,,,,,,
Poluição,pollution,,,,com.fs.starfarer.api.impl.campaign.econ.Pollution,"A indústria humana deixou este mundo repleto de dioxinas, compostos de enxofre, cinzas e o tique-taque constante de poeira radioativa em decomposição. Fragmentos de plástico grudam em estilhaços de metal-espuma, e o céu sintonizado em um canal morto.",graphics/icons/markets/pollution.png,110
,,,,,,,,
,,,,,,,,
Depósitos de Minério Escassos,ore_sparse,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Alguns depósitos de minério escassos existem aqui, mas são mais de interesse acadêmico do que industrial, pois sua extração mal é economicamente viável.",graphics/icons/markets/ore_sparse.png,50
Depósitos de Minério Moderados,ore_moderate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market contém depósitos de minério moderados que, sob as condições econômicas adequadas, poderiam ser explorados com lucro.",graphics/icons/markets/ore_moderate.png,50
Depósitos de Minério Abundantes,ore_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Depósitos de minério abundantes, disseminados e economicamente viáveis podem ser encontrados em $market.",graphics/icons/markets/ore_abundant.png,50
Depósitos de Minério Ricos,ore_rich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Depósitos minerais ricos formam uma malha espessa na crosta de $market, mas exigem um industrialista ambicioso para explorá-los e obter lucros fabulosos.",graphics/icons/markets/ore_rich.png,50
Depósitos de Minério Ultrarraro,ore_ultrarich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Riquezas minerais existem em $market, tocadas por Midas além dos sonhos mais loucos das megacorporações de mineração da era do Domínio.",graphics/icons/markets/ore_ultrarich.png,50
,,,,,,,,
,,,,,,,,
Depósitos de Minério Raro Esparsos,rare_ore_sparse,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Alguns depósitos de minério trans-plutônicos esparsos existem aqui, mas são mais de interesse acadêmico do que industrial, pois sua extração mal é economicamente viável.",graphics/icons/markets/rareore_sparse.png,60
Depósitos de Minério Raro Moderados,rare_ore_moderate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market contém depósitos trans-plutônicos modestos que, com indústria e investimento sustentados, poderiam ser explorados com lucro.",graphics/icons/markets/rareore_moderate.png,60
Depósitos de Minério Raro Abundantes,rare_ore_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Depósitos trans-plutônicos abundantes estão na crosta de $market, suficientes para alimentar as ambições de qualquer senhor da guerra ou magnata digno desse nome.",graphics/icons/markets/rareore_abundant.png,60
Depósitos de Minério Raro Ricos,rare_ore_rich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Faixas espessas de trans-plutônicos se espalham com profusão gloriosa pela crosta de $market, prometendo grande e potente poder àqueles que apenas estenderem a mão e os tomarem.",graphics/icons/markets/rareore_rich.png,60
Depósitos de Minério Ultrarraro,rare_ore_ultrarich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Os depósitos trans-plutônicos cintilando com densidade incrível na grade de sensores evocam presságios de um poder que poderia forjar poderosas frotas de guerra para reduzir mundos a cinzas — ou uma era de esplendor e riqueza para uma polity de torres de cristal como existiram nos ciclos pré-colapso do Domínio.,graphics/icons/markets/rareore_ultrarich.png,60
,,,,,,,,
,,,,,,,,
Voláteis Traços,volatiles_trace,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Os voláteis traços encontrados aqui mal justificam a colheita.,graphics/icons/markets/volatiles_trace.png,40
Voláteis Difusos,volatiles_diffuse,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Voláteis difusos podem ser encontrados aqui e podem ser suficientes para extração industrial.,graphics/icons/markets/volatiles_diffuse.png,40
