id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
orbitalworks,Estaleiro Orbital,60,150,,12,heavyindustry,,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/orbital_works.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"Infraestrutura de manufatura centralizada para produção de equipamentos industriais pesados, suprimentos e armas. Também capaz de produzir naves estelares minimamente capazes de operar no espaço; uma autoforja pode ser instalada para melhorar a qualidade da produção.

Melhorada com um componente orbital que facilita ainda mais a construção de naves, resultando em menos defeitos de fabricação.",1700,HIGH
fuelprod,Produção de Combustível,90,120,,10,,,"fuelprod, industry, industrial",,graphics/icons/industry/fuel_production.png,com.fs.starfarer.api.impl.campaign.econ.impl.FuelProduction,"Esta instalação produz combustível para naves estelares, o sangue vital da civilização interestelar. Sem componentes tecnológicos da era do Domínio, a produção de combustível é um processo trabalhoso e lento.",1800,HIGH
#advfuelprod,Advanced Fuel Production,120,60,,5,fuelprod,,fuelprod,,graphics/icons/industry/advanced_fuel_production.png,com.fs.starfarer.api.impl.campaign.econ.impl.FuelProduction,"A massive Domain-tech facility produces starship fuel, the life-blood of interstellar civilization.",1900,
commerce,Comércio,90,90,,3,,,"industry, urban",,graphics/icons/industry/commerce.png,com.fs.starfarer.api.impl.campaign.econ.impl.TradeCenter,"Regulamentações, concessões e infraestrutura para incentivar um comércio independente próspero. Reduz significativamente o grau de controle direto que a administração tem sobre a colônia.",1950,MEDIUM
station_base,Estação Orbital,,,,,,,"station, parent_item, important, structure",station,graphics/icons/industry/station_category.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Uma estação espacial capaz de apoiar frotas amigáveis perto de $marketName e deve ser reduzida antes que uma bombardeio possa ser tentado.

Várias variações estão disponíveis, com diferenças geralmente sendo em abordagens táticas em vez de força geral.",2000,
orbitalstation,Estação Orbital - Baixa Tecnologia,50,90,,3,,battlestation,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Uma estação espacial de baixa tecnologia, com blindagem pesada e poder de fogo médio.

Deve ser reduzida antes que uma bombardeio possa ser tentado.",2010,
battlestation,Estação de Batalha - Baixa Tecnologia,100,120,,4,orbitalstation,starfortress,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Uma estação espacial, aumentada com um bastião pesado e cidadelas de defesa de ponto.

Deve ser reduzida antes que uma bombardeio possa ser tentado.",2020,
starfortress,Fortaleza Estelar - Baixa Tecnologia,200,180,,5,battlestation,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/star_fortress.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Uma estação de batalha super-blindada, com drones de defesa da classe Merlon e um extenso campo minado.

Deve ser reduzida antes que uma bombardeio possa ser tentado.",2030,
orbitalstation_mid,Estação Orbital - Média Tecnologia,50,90,,3,,battlestation_mid,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_midline_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Uma estação espacial de média tecnologia, com poder de fogo pesado em um lado e rotação axial rápida.

Deve ser reduzida antes que uma bombardeio possa ser tentado.",2040,
battlestation_mid,Estação de Batalha - Média Tecnologia,100,120,,4,orbitalstation_mid,starfortress_mid,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_midline_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Uma estação espacial, aumentada com módulos de suporte de mísseis.

Deve ser reduzida antes que uma bombardeio possa ser tentado.",2050,
starfortress_mid,Fortaleza Estelar - Linha Média,200,180,,5,battlestation_mid,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_midline_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/star_fortress.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Uma estação de batalha superarmada, equipada com drones de defesa da classe Ravelin e um extenso campo minado.

Deve ser reduzida antes que um bombardeio possa ser tentado.",2060,
orbitalstation_high,Estação Orbital - Alta Tecnologia,50,90,,3,,battlestation_high,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_hightech_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Uma estação espacial de alta tecnologia, com escudos rotativos pesados, complemento de caças e poder de fogo médio.

Deve ser reduzida antes que um bombardeio possa ser tentado.",2070,
battlestation_high,Estação de Batalha - Alta Tecnologia,100,120,,4,orbitalstation_high,starfortress_high,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_hightech_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Uma estação espacial, reforçada com uma cidadela defensiva equipada com poder de fogo pesado.

Deve ser reduzida antes que um bombardeio possa ser tentado.",2080,
starfortress_high,Fortaleza Estelar - Alta Tecnologia,200,180,,5,battlestation_high,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_hightech_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/star_fortress.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Uma estação de batalha superarmada, equipada com drones de defesa da classe Gárgula e teletransportadores de minas de longo alcance.

Deve ser reduzida antes que um bombardeio possa ser tentado.",2090,
grounddefenses,Defesas Terrestres,30,60,,2,,heavybatteries,"grounddefenses, unraidable, tactical_bombardment, structure",,graphics/icons/industry/ground_defenses.png,com.fs.starfarer.api.impl.campaign.econ.impl.GroundDefenses,Uma rede dispersa e semi-autônoma de pequenas instalações de armas ocultas que torna a perspectiva de um ataque terrestre direto — e até mesmo incursões simples — extremamente custosa para o atacante. Apenas um bombardeio orbital avassalador ou uma triagem ativa massivamente desproporcional pode suprimir essas defesas.,2200,
heavybatteries,Baterias Pesadas,60,90,,3,grounddefenses,,"grounddefenses, unraidable, tactical_bombardment, structure",,graphics/icons/industry/heavy_batteries.png,com.fs.starfarer.api.impl.campaign.econ.impl.GroundDefenses,"Baterias blindadas subterrâneas complementam uma rede dispersa de pequenas instalações de armas ocultas. As baterias terrestres são capazes de um poder de fogo verdadeiramente impressionante, embora só se manifeste dificultando operações terrestres, já que nenhum capitão de nave estelar seria tolo o suficiente para adentrar seus envelopes de tiro.",2300,
patrolhq,QG de Patrulha,60,60,,8,,militarybase,"patrol, unraidable, tactical_bombardment, structure",,graphics/icons/industry/patrol_hq.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,"Os hangares necessários, baias de manutenção, centro de comando/controle, alojamentos e operações logísticas exigidos para projetar força em todo um sistema estelar. Uma vez estabelecido, patrulhas militarizadas caçarão piratas e protegerão comboios amigáveis.",2400,
militarybase,Base Militar,90,120,,10,patrolhq,highcommand,"military, unraidable, tactical_bombardment, industry",,graphics/icons/industry/military_base.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,"Essas instalações permitem a projeção de força entre sistemas estelares. Qualquer empreendimento militar desse tipo é uma operação logística massiva que requer coordenação de dezenas, talvez centenas de naves estelares e milhares de oficiais, tripulações e soldados.",2500,
highcommand,Alto Comando,30,120,,14,militarybase,,"command, unraidable, tactical_bombardment, industry",,graphics/icons/industry/high_command.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,Um império interestelar só é possível por meio de um corpo excepcional de oficiais e burocratas com autoridade sobre os recursos de sistemas estelares inteiros. Um alto comando estabelecido permite que operações militares sejam organizadas e executadas em todo o Setor.,2600,
lionsguard,QG da Guarda do Leão,90,60,,6,,,"military, unraidable, tactical_bombardment, structure, codex_unlockable",,graphics/icons/industry/lions_guard.png,com.fs.starfarer.api.impl.campaign.econ.impl.LionsGuardHQ,"Quartel-general da temida guarda pessoal de Filipe ""O Leão de Sindria"" Andrada. Com treinamento superior e acesso aos melhores equipamentos que créditos podem comprar, a lealdade fanática da Guarda é mantida por meio de um sistema de benefícios e incentivos que tanto elevam quanto isolam a Guarda do restante da estrutura militar do Diktat.",2650,
planetaryshield,Escudo Planetário,150,90,,3,,,"grounddefenses, structure, codex_unlockable",,graphics/icons/industry/planetary_shield.png,com.fs.starfarer.api.impl.campaign.econ.impl.PlanetaryShield,"Um envelope de plasma carregado com partículas virtuais exóticas que produz efeitos capazes de reduzir a eficácia de bombardeios de longo alcance e até mesmo incursões de pequenas naves. O escudo planetário pode ser continuamente recarregado e controlado por uma fonte central, apresentando um obstáculo formidável a qualquer forma de assalto terrestre.",2700,EXTREME
waystation,Estação de Apoio,20,60,,2,,,"waystation, structure",,graphics/icons/industry/waystation.png,com.fs.starfarer.api.impl.campaign.econ.impl.Waystation,Um depósito de suprimentos e manutenção para frotas interestelares. Aumenta a acessibilidade da colônia.,155,MEDIUM
cryosanctum,Criossantuário,150,90,,5,,,"cryosanctum, structure, codex_unlockable",,graphics/icons/industry/cryosanctum.png,com.fs.starfarer.api.impl.campaign.econ.impl.Cryosanctum,"Um imenso cofre-túmulo projetado para armazenar aqueles que optam por arriscar o sono criogênico para atravessar este período de turbulências e acordar, presumivelmente, em uma era mais civilizada. Os criopods em si são insignificantes em tamanho comparados à infraestrutura de suporte redundante várias vezes, aos sistemas massivos de segurança automatizada e às baterias antinave, todas abrigadas em um labirinto-fortaleza subterrâneo ramificado.",3000,EXTREME
,,,,,,,,,,,,,,
cryorevival,Instalação de Revivescência Criogênica,60,60,,5,,,"cryorevival, structure, codex_unlockable",,graphics/icons/industry/cryorevival.png,com.fs.starfarer.api.impl.campaign.econ.impl.Cryorevival,As instalações necessárias para a revivescência em massa e assimilação dos passageiros de um criodorminhoco da era do Domínio. Aumenta consideravelmente o crescimento populacional.,3200,MEDIUM
