id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
navigation,Navegação,1000,1,0,0,Passar tempo suficiente aqui fora e isso se torna instintivo. É como me movo quando sonho. Nem todos têm esse privilégio. Muitos têm.,"Projeto de Entrevistas Nachiketa Portside, Ep.2",,,,,graphics/icons/skills/navigation.png,
sensors,Sensores,1010,1,0,0,"Eu te vejo, peixinho!","Buffer de comunicações do ISS Green Flash, recuperado em órbita de Beta Zuma B",,,,,graphics/icons/skills/sensors.png,
gunnery_implants,Implantes de Artilharia,1020,2,1,0,"Com o tempo, a realidade aumentada apresentada pelos implantes pode tornar-se difícil de distinguir dos inputs sensoriais normais. O oficial de psicologia deve verificar regularmente os artilheiros quanto a sinais de Transtorno Dissociativo por Aumento, seguindo os seguintes critérios...",Um Novo Quadro de Liderança: Manual para Oficiais da Hegemonia,TRUE,,,,graphics/icons/skills/gunnery_implants.png,
energy_weapon_mastery,Domínio da Arma Energética,1030,2,1,0,"O olho de um anjo foi encontrado nos lugares pequenos, escondido ali pelo Deus misericordioso nos primeiros momentos da criação. Assim, seus segredos foram revelados para os ignorantes e cruéis, que soltaram terrível ira flamejante. Lamentamos.",Textos Sagrados de Ludd,TRUE,,,energy_weapons,graphics/icons/skills/energy_weapon_mastery.png,
electronic_warfare,Guerra Eletrônica,1040,4,2,0,"err. 401 // conexão recusada [tentar novamente?]
err. 401 // conexão recusada [tentar novamente?]
err. 401 // conexão recusada [tentar novamente?]","Celadon Incomensurável, alfa",,TRUE,,,graphics/icons/skills/EW.png,
flux_regulation,Regulagem de Fluxo,1060,4,2,0,"AVISO: Ao alterar estas configurações, o usuário isenta a Tri-Tachyon Corporation de responsabilidade por quaisquer danos ao equipamento, ferimentos, morte ou quaisquer outros efeitos anômalos no espaço-tempo resultantes. Deseja continuar?","Tri-Tachyon Corporation, licença padrão",,TRUE,,,graphics/icons/skills/flux_dynamics.png,
cybernetic_augmentation,Aumento Cibernético,1080,5,4,2,Não dê ouvidos àqueles luddicos cripto-chorões da comissão de ética; a taxa de rejeição está longe do que os boatos sugerem.,"""Doutor"" Wyatt Cydonia (pseudônimo), interceptação da COMSEC",,TRUE,,,graphics/icons/skills/cybernetic_augmentation.png,
phase_corps,Sintonia da Bobina de Fase,1070,4,2,0,"A Tri-Tachyon violenta a sagrada criação diariamente, e a cada profanação nossa danação total se aproxima. Nosso caminho é fardo; nosso caminho é sofrimento. Enfrentaremos eles com fé de que a única redenção é o julgamento final.","Livewell Cotton, terrorista do Caminho Luddico, sermão de 205.2.12",,TRUE,,,graphics/icons/skills/phase_corps.png,
special_modifications,Modificações Especiais,1080,5,,,"Os Domínios, ah, eles projetaram para durar, é verdade. Mas toda essa vida mole mostra que eles tinham medo de realmente levar essas coisas aos seus limites.","Luna Hexagen, engenheira independente, cidade de Agreus",,,,"npc_only, deprecated",graphics/icons/skills/special_modifications.png,
neural_link,Ligação Neural,1075,4,2,0,Por que um capitão deveria ir a pique com sua nave? A Tri-Tachyon Corporation não desperdiça talentos de ponta.,"VP de Operações Nereid De Jong na cerimônia de lançamento do ""Projeto Heket""",,,,,graphics/icons/skills/neural_link.png,
automated_ships,Naves Automatizadas,1090,5,4,2,[REDACTED],COMSEC da Hegemonia,,,,,graphics/icons/skills/automated_ships.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# INDUSTRY,,,,,,,,,,,,,
bulk_transport,Transporte em Massa,1500,1,0,,"Você não pode escapar da economia mais do que pode escapar da gravidade. Ela nos cerca, nos contém, nos eleva. Uma vez uniu a galáxia, e o fará novamente.","Artemisia Sun, Relatório Anual c203",,,,,graphics/icons/skills/bulk_transport.png,
salvaging,Salvamento,1510,1,0,,"Isso me faz me sentir muito pequeno, como se fôssemos vermes saqueando as cidades de anjos caídos.
Também me deixa rico.","Zion Hurst, oficial da Guilda de Salvamento Asher",,,,,graphics/icons/skills/salvaging.png,
field_repairs,Reparos de Campo,1520,1,0,,Não há ninguém dentro de vinte anos-luz que não tenha caveiras riscadas em seu casco. Só temos nossa habilidade e o que encontrarmos naquele campo de destroços para sair daqui.,"Callisto Ibrahim, registro de expedição c202.10.15",,,,,graphics/icons/skills/field_repairs.png,
ordnance_expert,Perícia em Armamento,1530,3,1,,Os fracos temem o poder espiritual da máquina de matar. Os fortes reconhecem instintivamente sua beleza.,Citações do Supremo Executor,TRUE,,,,graphics/icons/skills/ordnance_expert2.png,
polarized_armor,Blindagem Polarizada,1540,3,1,,"Os manuais da pré-Colapso dizem para nunca fazer isso. ... Não, não sei. Até agora, não tive problemas.","Engenheira-chefe Kasi Thea-Radiative, entrevista em holocâmera escondida",TRUE,,,,graphics/icons/skills/polarized_armor.png,
containment_procedures,Procedimentos de Contenção,1550,4,2,,Verifique cada selo três vezes para que a Morte não venha atrás de você.,Tradição de navegadores,,,,,graphics/icons/skills/containment_procedures.png,
makeshift_equipment,Equipamentos Improvisados,1560,4,2,,Acho que deixamos as peças sobressalentes em órbita. Vai ficar tudo bem... [estática]... é só esperar.,"Transcrição de backup de áudio, Jericho Wheeler, líder da expedição ""H""-team",,,,,graphics/icons/skills/makeshift_equipment.png,
industrial_planning,Planejamento Industrial,1570,4,2,,"Um mundo estéril, mas promissor, bem posicionado para se tornar o centro cultural e industrial de Magec. Modelos da SIE projetam vastos investimentos em exploração de recursos vindos do Disco de Guayota.","Memorando de desenvolvimento estratégico da Tri-Tachyon, pré-Colapso",,,TRUE,,graphics/icons/skills/industrial_planning.png,
derelict_contingent,Operações com Derelictos,1590,5,4,2,"Eles acham que somos lixo, os executivos e almirantes em suas naves estelares brilhantes. Eles nos jogaram fora assim que as coisas pioraram. Mas foi em nós que o Setor foi construído, e é em nós que eles cairão.","agitador pirata anônimo, interceptação de inteligência da Hegemonia",,TRUE,,player_only,graphics/icons/skills/derelict_contingent.png,
hull_restoration,Restauração de Casco,1580,5,4,2,Não há casco que um verdadeiro navegador não possa transformar em lar.,"Sol Segunda Turma, salvador veterano",,,,,graphics/icons/skills/recovery_ops.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Misc non-player,,,,,,,,,,,,,
omega_ecm,EW Omega,10000,0,,,,,,,,npc_only,graphics/icons/skills/EW.png,
hypercognition,Hipercognição,10001,0,,,"Uma máquina ilimitada que recebe cada dado, cada pensamento humano para combinar e recombinar em variantes além da contagem. Pergunte, e uma resposta apropriada é produzida.
Ainda assim, não me sinto satisfeito por ser enganado ao ponto de provar uma proposição tão grandiosa.","""O Longo Caminho para Gilead"" por Anônimo",,,TRUE,"npc_only, ai_core_only, codex_unlockable",graphics/icons/skills/hypercognition.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"# removed in 0.95.1a, but kept around for save compatibility",,,,,,,,,,,,,
space_operations,Operações Espaciais,590,5,4,2,As mesmas estrelas são vistas no céu de cada mundo.,carta fundadora da Liga Perseana,,,,"npc_only, deprecated",graphics/icons/skills/space_ops.png,
planetary_operations,Operações Terrestres,600,5,4,2,"A lama? Não me importo. Os espaciais sempre falam da lama.
É o sangue que não suporto.","Griffin Sweet, fuzileiro mercenário",,,,"npc_only, deprecated",graphics/icons/skills/planetary_ops.png,
colony_management,Gestão de Colônia,1590,5,4,2,"Onde há vida, aí está o trono de Deus, e tudo que é bom pode ser encontrado ali.",Textos Sagrados de Ludd,,,,"npc_only, deprecated",graphics/icons/skills/colony_management.png,
strike_commander,Comandante de Ataque,20,1,0,,Voarás e será uma tempestade como nenhuma outra. Tu és um raio vindo para fender o próprio céu!,"Almirante Mars Kato, discurso às tripulações de bombardeiros da Sirocco",TRUE,,,"carrier, spec, npc_only, deprecated",graphics/icons/skills/strike_commander.png,
ranged_specialization,Especialização de Longo Alcance,60,3,0,,Vê essa solução de tiro? Ela fará os algoritmos defensivos reagirem no momento errado. O truque é que eles precisam vê-la chegando.,"CPO Cameron Fourth-Phobos, instrutor do Campo de Tiro Coatl",TRUE,,,"spec, npc_only, deprecated",graphics/icons/skills/ranged_specialization.png,
shield_modulation,Modulação de Escudos,70,4,0,,Poucos têm talento para o que gosto de chamar de 'sintonia ativa'. Acredito que músicos façam os melhores oficiais de escudos.,"Ardis Soloman, dados vazados submetidos ao algoritmo de redação da COMSEC",TRUE,,,"npc_only, deprecated",graphics/icons/skills/defensive_systems.png,
phase_mastery,Domínio da Fase,80,4,0,,"Não volto pra essa nave, nunca mais.","Registro de conselho de guerra, [REDACTED], datado de ~c196?",TRUE,,,"phase, spec, elite_player_only, npc_only, deprecated",graphics/icons/skills/phase_mastery.png,
reliability_engineering,Engenharia de Confiabilidade,1530,2,0,,"No fim, com o tempo e a radiação, meu corpo morrerá. Meus companheiros me devolverão às estrelas que me criaram, e minha nave seguirá adiante.",Tradição espacial,TRUE,,,"npc_only, deprecated",graphics/icons/skills/reliability_engineering.png,
weapon_drills,Exercícios de Armas,500,1,0,,"O que deteve o plano da Tri-Tachyon? (Armas!)
O que foi que o velho Ludd esqueceu? (Armas!)
O que temos que eles não têm? (Armas grandes, muito grandes!)",Canção de bebedeira da marinha da Hegemonia,,,,"npc_only, deprecated",graphics/icons/skills/weapon_drills.png,
auxiliary_support,Suporte Auxiliar,510,1,0,,Sem reservas? Olhe ao redor! Há milhares de naves espaciais nos estaleiros civis e bilhões de cidadãos nas arcologias. Só precisamos abrir os estoques e dar-lhes armas antes da chegada da invasão.,Baikal Daud na Defesa de Chicomoztoc,,,,"npc_only, deprecated",graphics/icons/skills/auxiliary_support.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#combat_endurance,Combat Endurance,0,1,,,"Through experience and planning, a seasoned officer has the ability to extend the effective warfighting time of ship and crew during the extreme conditions of combat deployment.",Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/combat_endurance2.png,
,,,,,,,,,,,,,
#ordnance_expert,Ordnance Expertise,10,2,,,A detailed knowledge of the operational characteristics and maintenance protocols of armaments can be applied to achieve increased combat performance.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/ordnance_expert.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,"
"
#defensive_systems,Defensive Systems,37.5,4,,,Extensive knowledge of the interactions between the ship's power grid and its defensive systems can produce qualitative improvements in operational characteristics.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/defensive_systems.png,
#advanced_countermeasures,Advanced Countermeasures,39,4,,,Attention to detail and regular maintenance can allow the various defensive systems of a hull to excel in their role.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/advanced_countermeasures.png,
#evasive_action,Evasive Action,40,5,,,"Even if incoming fire cannot be completely avoided, the pilot often has a choice in just where the damage is taken, which can result in reduced damage impact.",Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/evasive_maneuvering.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#command_and_control,Command & Control,90,1,,,Hard-won experience - as well as poring over tactical manuals and battle reports - allow the commander to formulate and carry out more advanced battle plans.,Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/advanced_tactics.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#fighter_doctrine,Fighter Doctrine,130,3,,,"Carriers and fighter wings have a very different set of requirements from regular ships, and an experienced fleet commander can make a critical difference by providing proper support.",Lorem Ipsum,,,,"carrier, npc_only, deprecated",graphics/icons/skills/fighter_doctrine.png,
#carrier_command,Carrier Command,135,3,,,"Fighter wings and their crews have very specialized requirements, and an experienced captain can make a critical difference by providing proper support.",Lorem Ipsum,TRUE,,,"carrier, npc_only, deprecated",graphics/icons/skills/carrier_command.png,
#wing_commander,Wing Commander,140,4,,,"Rigorous training drills, select personnel, and camaraderie forged through hardship can turn a rag-tag bunch of fighter pilots into an efficient, elite-level force.",Lorem Ipsum,TRUE,,,"carrier, npc_only, deprecated",graphics/icons/skills/wing_commander.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#flux_modulation,Power Grid Modulation,155,1,,,Preventive maintenance and some inspired on-the-fly adjustments can greatly increase the capacity of the ship's power grid.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/power_grid_manipulation.png,
,,,,,,,,,,,,,
#ship_design,Loadout Design,170,2,,,"The baseline specifications for ship loadouts are notoriously conservative, and an experienced engineer can push them well above their stated limits.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/loadout_design.png,
,,,,,,,,,,,,,
#fleet_logistics,Fleet Logistics,1560,4,,,"Making sure supplies and other materiel get where they need to be is not a glorious task. It is, however, critical - both in dealing with emergencies and ensuring smooth day-to-day operations.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/fleet_logistics.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#recovery_operations,Recovery Operations,260,1,,,"Extracting working equipment or even useful replacement parts out of wreckage requires broad technical knowledge, prudence, and a willingness to take calculated risks.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/recovery_ops.png,
#safety_procedures,Safety Procedures,1540,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/safety_procedures.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
aptitude_combat,,0,,,,,,,,,,graphics/icons/skills/category_combat.png,
aptitude_leadership,,0,,,,,,,,,,graphics/icons/skills/category_leadership.png,
aptitude_technology,,0,,,,,,,,,,graphics/icons/skills/category_technology.png,
aptitude_industry,,0,,,,,,,,,,graphics/icons/skills/category_industry.png,
